sound,latin,tone
ā,a,1
á,a,2
ǎ,a,3
à,a,4
a,a,
āi,ai,1
ái,ai,2
ǎi,ai,3
ài,ai,4
ai,ai,
ān,an,1
án,an,2
ǎn,an,3
àn,an,4
āng,ang,1
áng,ang,2
àng,ang,4
āo,ao,1
áo,ao,2
ǎo,ao,3
ào,ao,4
ē,e,1
é,e,2
ě,e,3
è,e,4
e,e,
ēi,ei,1
éi,ei,2
ěi,ei,3
èi,ei,4
ēn,en,1
èn,en,4
en,en,
ér,er,2
ěr,er,3
èr,er,4
er,er,
yī,yi,1
yí,yi,2
yǐ,yi,3
yì,yi,4
yi,yi,
yā,ya,1
yá,ya,2
yǎ,ya,3
yà,ya,4
ya,ya,
yān,yan,1
yán,yan,2
yǎn,yan,3
yàn,yan,4
yan,yan,
yāng,yang,1
yáng,yang,2
yǎng,yang,3
yàng,yang,4
yang,yang,
yāo,yao,1
yáo,yao,2
yǎo,yao,3
yào,yao,4
yao,yao,
yē,ye,1
yé,ye,2
yě,ye,3
yè,ye,4
ye,ye,
yīn,yin,1
yín,yin,2
yǐn,yin,3
yìn,yin,4
yin,yin,
yīng,ying,1
yíng,ying,2
yǐng,ying,3
yìng,ying,4
ying,ying,
yō,yo,1
yo,yo,
yōng,yong,1
yóng,yong,2
yǒng,yong,3
yòng,yong,4
yong,yong,
yōu,you,1
yóu,you,2
yǒu,you,3
yòu,you,4
you,you,
ō,o,1
ó,o,2
ǒ,o,3
ò,o,4
o,o,
wēng,weng,1
wěng,weng,3
wèng,weng,4
ōu,ou,1
ǒu,ou,3
òu,ou,4
wū,wu,1
wú,wu,2
wǔ,wu,3
wù,wu,4
wu,wu,
wā,wa,1
wá,wa,2
wǎ,wa,3
wà,wa,4
wa,wa,
wāi,wai,1
wǎi,wai,3
wài,wai,4
wai,wai,
wān,wan,1
wán,wan,2
wǎn,wan,3
wàn,wan,4
wāng,wang,1
wáng,wang,2
wǎng,wang,3
wàng,wang,4
wang,wang,
yuē,yue,1
yuě,yue,3
yuè,yue,4
yue,yue,
wēi,wei,1
wéi,wei,2
wěi,wei,3
wèi,wei,4
wei,wei,
wēn,wen,1
wén,wen,2
wěn,wen,3
wèn,wen,4
wō,wo,1
wǒ,wo,3
wò,wo,4
wo,wo,
yū,yu,1
yú,yu,2
yǔ,yu,3
yù,yu,4
yu,yu,
yuān,yuan,1
yuán,yuan,2
yuǎn,yuan,3
yuàn,yuan,4
yūn,yun,1
yún,yun,2
yǔn,yun,3
yùn,yun,4
bā,ba,1
bá,ba,2
bǎ,ba,3
bà,ba,4
ba,ba,
bāi,bai,1
bái,bai,2
bǎi,bai,3
bài,bai,4
bai,bai,
bān,ban,1
bǎn,ban,3
bàn,ban,4
ban,ban,
bāng,bang,1
bǎng,bang,3
bàng,bang,4
bang,bang,
bāo,bao,1
báo,bao,2
bǎo,bao,3
bào,bao,4
bao,bao,
bēi,bei,1
běi,bei,3
bèi,bei,4
bei,bei,
bēn,ben,1
běn,ben,3
bèn,ben,4
bēng,beng,1
béng,beng,2
běng,beng,3
bèng,beng,4
bī,bi,1
bí,bi,2
bǐ,bi,3
bì,bi,4
bi,bi,
biān,bian,1
biǎn,bian,3
biàn,bian,4
bian,bian,
biāo,biao,1
biáo,biao,2
biǎo,biao,3
biào,biao,4
biē,bie,1
bié,bie,2
biě,bie,3
biè,bie,4
bīn,bin,1
bìn,bin,4
bīng,bing,1
bǐng,bing,3
bìng,bing,4
bing,bing,
bō,bo,1
bó,bo,2
bǒ,bo,3
bò,bo,4
bo,bo,
bū,bu,1
bú,bu,2
bǔ,bu,3
bù,bu,4
bu,bu,
pā,pa,1
pá,pa,2
pà,pa,4
pa,pa,
pāi,pai,1
pái,pai,2
pǎi,pai,3
pài,pai,4
pai,pai,
pān,pan,1
pán,pan,2
pàn,pan,4
pāng,pang,1
páng,pang,2
pǎng,pang,3
pàng,pang,4
pāo,pao,1
páo,pao,2
pǎo,pao,3
pào,pao,4
pao,pao,
pēi,pei,1
péi,pei,2
pèi,pei,4
pēn,pen,1
pén,pen,2
pèn,pen,4
pen,pen,
pēng,peng,1
péng,peng,2
pěng,peng,3
pèng,peng,4
peng,peng,
pī,pi,1
pí,pi,2
pǐ,pi,3
pì,pi,4
pi,pi,
piān,pian,1
pián,pian,2
piǎn,pian,3
piàn,pian,4
piāo,piao,1
piáo,piao,2
piǎo,piao,3
piào,piao,4
piē,pie,1
piě,pie,3
pīn,pin,1
pín,pin,2
pǐn,pin,3
pìn,pin,4
pīng,ping,1
píng,ping,2
pō,po,1
pó,po,2
pǒ,po,3
pò,po,4
po,po,
pōu,pou,1
póu,pou,2
pǒu,pou,3
pū,pu,1
pú,pu,2
pǔ,pu,3
pù,pu,4
mā,ma,1
má,ma,2
mǎ,ma,3
mà,ma,4
ma,ma,
mái,mai,2
mǎi,mai,3
mài,mai,4
mai,mai,
mān,man,1
mán,man,2
mǎn,man,3
màn,man,4
man,man,
māng,mang,1
máng,mang,2
mǎng,mang,3
mang,mang,
māo,mao,1
máo,mao,2
mǎo,mao,3
mào,mao,4
mao,mao,
me,me,
méi,mei,2
měi,mei,3
mèi,mei,4
mei,mei,
mēn,men,1
mén,men,2
mèn,men,4
men,men,
mēng,meng,1
méng,meng,2
měng,meng,3
mèng,meng,4
mī,mi,1
mí,mi,2
mǐ,mi,3
mì,mi,4
mi,mi,
mián,mian,2
miǎn,mian,3
miàn,mian,4
mian,mian,
miāo,miao,1
miáo,miao,2
miǎo,miao,3
miào,miao,4
miē,mie,1
miè,mie,4
mie,mie,
mín,min,2
mǐn,min,3
míng,ming,2
mǐng,ming,3
mìng,ming,4
