form,meaning,type,etymology
⺮,bamboo; flute,pictographic,Two stalks of bamboo; see 竹
㐆,old form of 隱,,
㐌,a tribe of savages in South China,pictophonetic,people
俊,"talented, capable; handsome",pictophonetic,person
㒸,"to obey, to follow; year, season, harvest",,
罔,none; to deceive; to slander,pictophonetic,net
寇,"bandit, thief; enemy; to invade",ideographic,Bandits mugging 攴 a person 元 in his home 宀
㔾,seal; kneeling person,pictographic,A rolled-up scroll or kneeling person; compare 卩
却,"still, but; decline; retreat",pictophonetic,seal
厨,"kitchen; closet, cupboard",pictophonetic,building
参,"to take part in, to intervene; ginseng",pictophonetic,
以,according to; so as to; because of; then,,
坳,"cavity, depression, hollow; depressed; undulating",pictophonetic,earth
宿,"to stop, to rest, to lodge; constellation",ideographic,A person 亻 sleeping in a bed 百 under a roof 宀
冥,"dark, gloomy, night; deep",ideographic,"The sun 日, covered 冖, with 六 providing the pronunciation"
最,"most, extremely, exceedingly; superlative",ideographic,"To take place 取 under the sun 日 (that is, everywhere)"
㝵,"to obtain, to get, to acquire; ancient form of 得",ideographic,A hand 寸 grabbing a shell 旦
岸,"beach, coast, shore",ideographic,A mountain 山 cliff 厂; 干 provides the pronunciation
岛,island,ideographic,A bird 鸟 perched atop a mountain 山
帆,boat; to sail,pictophonetic,cloth
帽,"hat, cap",pictophonetic,towel
廉,"upright, honorable, honest",,
迥,"distant, far; separated; different",ideographic,Separated 辶 by a border 冋; 冋 also provides the pronunciation
恩,"kindness, mercy, charity",pictophonetic,heart
惬,"satisfied, comfortable, cheerful",pictophonetic,heart
㥯,"careful, prudent; compassionate; grieved; worried",pictophonetic,heart
拿,"to bring, to grasp, to hold, to take",pictophonetic,hand
捷,"nimble, quick; triumph, victory",pictophonetic,hand
晃,"bright, dazzling; to shake, to sway",pictophonetic,sun
据,"to possess, to occupy; position; base",pictophonetic,hand
携,"to carry, to lead, to take by the hand",pictophonetic,hand
散,"to scatter, to disperse, to break up",ideographic,A hand 攵 tossing seeds from a basket
敦,"honest, candid, sincere; kind-hearted; to esteem",pictophonetic,share
暖,"warm, genial",pictophonetic,sun
㬎,"motes in a sunbeam; illustrious, bright",ideographic,Tiny 幺 motes of dust 灬 in a sunbeam 日
橹,"oar, scull; to row, to scull",pictophonetic,wood
饮,"to swallow, to drink; a kind of drink",pictophonetic,food
㲋,"rabbit, hare",pictographic,A rabbit looking to the left
涎,saliva,pictophonetic,water
法,"law, rule, statute; method, way; French",ideographic,The course 去 followed by a stream 氵
深,"deep, profound; depth",ideographic,Deep 罙 water 氵
涧,"brook, mountain stream",ideographic,A stream 氵 flowing through a valley 间; 间 also provides the pronunciation
烨,"glorious, splendid; a blaze of fire",ideographic,A glorious 华 blaze 火; 华 also provides the pronunciation
碗,"bowl, small dish",pictophonetic,stone
留,"to stay, to remain; to preserve, to keep; to leave a message; ",,
瘪,"shriveled, dried up; vexed",pictophonetic,sickness
筲,"basket, bucket",pictophonetic,bamboo
糊,muddled; paste; to stick on with paste,pictophonetic,grain
䍃,"vase, pitcher, earthenware",pictographic,Pottery; compare 缶
䕭,"a kind of grass; a vegetable; nettle, Urtica",pictophonetic,grass
蜂,"bee, wasp, hornet",pictophonetic,insect
恤,"to help, to relieve, to take pity on",pictophonetic,heart
脉,"a pulse; arteries, veins; blood vessels",ideographic,Long 永 vessels through one's body ⺼
卒,"soldier; servant; at last, finally",pictographic,A soldier in armor
词,"phrase, expression; words, speech",pictophonetic,words
獾,badger,pictophonetic,animal
䠀,to meditate; to sit cross-legged,pictophonetic,foot
趟,"time, occasion; to make a journey",pictophonetic,walk
射,"to shoot, to eject, to emit",pictographic,A bow 身 being drawn by a hand 寸
镰,sickle,pictophonetic,metal
飒,bleak; melancholy; the howl of the wind,pictophonetic,wind
驮,to carry on one's back,pictophonetic,horse
魂,"soul, spirit",pictophonetic,spirit
鲃,shark; bonito,pictophonetic,fish
鹅,goose,pictophonetic,bird
鹮,"spoonbill, ibis; Threskiornidae",pictophonetic,bird
麸,bran,pictophonetic,wheat
衄,a bloody nose; to be defeated,ideographic,To be shamed 丑 by a bloody 血 nose
一,"one; a, an; alone",ideographic,"Represents heaven (天), earth (旦), or the number 1"
丁,"male adult; robust, vigorous; 4th heavenly stem",pictographic,A nail
丂,obstruction of breath (qi); variant of 考,,
七,seven,,
丄,above,ideographic,One stroke on top of another; variant of 上
万,ten thousand; innumerable,,
丈,"gentleman, man, husband; unit of length equal to 3.3 meters",,
三,three,ideographic,Three  parallel lines; compare 一 (one) and 二 (two)
上,"above, on top, superior; to go up; to attend; previous",ideographic,One stroke on top of another; compare 下 (below)
下,"below, underneath; inferior; to bring down; next",ideographic,One stroke under another; compare 上 (above)
丌,table,pictographic,A table
不,"no, not, un-; negative prefix",ideographic,A bird flying toward the sky 一
丏,"parapet; invisible, hidden",,
丐,beggar; to beg; to give,pictographic,A person leaning forward to ask for help
丑,"ugly; shameful; comedian, clown",,
且,"moreover, also (post-subject); about to, will soon (pre-verb)",pictographic,A stone altar
丕,"great, grand, glorious, distinguished",,
世,"generation, era, age; world",pictographic,Three leaves on a branch
丘,"mound, hill; surname",pictographic,Two hills
丙,third; 3rd heavenly stem,,
丞,"to aid, to assist, to rescue",pictophonetic,one
丢,to lose; to discard,ideographic,A lost 厶 jade 玉
并,"to combine, to annex; also, what's more",ideographic,Simplified form of 並; two men standing side-by-side
丨,number one; line,,
丩,"to connect, to join; vine",,
丫,forked; bifurcation,ideographic,A forked line 丨
中,"central; center, middle; amidst; to hit (target), to attain; China; Chinese",ideographic,A line 丨 through the center of a box 口
丰,"abundant, lush, bountiful, plenty",pictographic,An ear of grass
丱,a child's hair bound in two tufts; ore,pictographic,Two braids 丱 of hair
串,string; relatives; to conspire,ideographic,Two objects 口 strung 丨 together
丵,thick (grass),,
丶,dot,,
丷,kwukyel,,
丸,"ball, pebble, pellet, pill",pictographic,A fist 九 holding a pebble 丶
丹,"cinnabar, red, vermilion; pellet, powder",ideographic,A red pellet 丶 from a mine 井
主,to own; to host; master; host; lord,pictographic,A lamp 王 with a flame 丶
丿,slash,,
乂,to govern; to control; to nurture,ideographic,"Shears, for cultivating a garden"
乃,"then; really, indeed, after all",ideographic,A pregnant woman; compare 孕
久,long ago; a long time,,
乇,"to depend on, to entrust with",,
幺,"one; tiny, small",,
之,"marks preceding phrase as modifier of following phrase; it, him her, them; to go to",ideographic,"A foot meaning ""to follow""; cursive version of 止"
乍,"first time, for the first time, suddenly",,
乎,interrogative or exclamatory final particle,,
乏,"poor; short, lacking; tired",ideographic,A foot 之 running into a wall or barrier 丿
乑,to stand side by side,,
乒,used with pong for ping pong,ideographic,A ball bouncing back and forth; compare 乓
乓,used with ping for ping pong,ideographic,A ball bouncing back and forth; compare 乒
乖,"obedient, well-behaved; clever",,
乘,"ride, mount; to make use of; to ascend; to multiply",ideographic,Two feet 北 climbing a beanstalk 禾
乙,second; 2nd heavenly stem,pictographic,A swallow
乚,"secret, hidden, mysterious; small, minute; to conceal",,
乛,kwukyel,,
乜,to squint,,
九,nine,pictographic,An elbow
乞,to beg; to request,,
也,"also, too",,
乩,to divine,pictophonetic,divine
乳,"breast, nipples; milk; to suckle",pictophonetic,hidden
乶,"Pholha, a place in Korea",pictophonetic,second
乾,"arid, dry; to fertilize; to penetrate; heavenly generative principle (male)",ideographic,Rays 十 emanating from the 日; 乞 provides the pronunciation
干,"arid, dry; to oppose; to offend; to invade",pictographic,A club or axe
乿,"to heal, to cure",,
乱,"anarchy, chaos; revolt",,
亅,hook,,
了,clear; to finish; particle of completed action,pictographic,A child swaddled in blanklets; compare 子
予,to give; to award,,
事,"affair, matter, business; to serve; accident, incident",,
二,two; twice,ideographic,Two  parallel lines; compare 一 (one) and 三 (three)
亍,to take small steps; Korean place name,,
于,"at, in, on; to, from; alas!",,
云,"cloud; to say, to speak",pictographic,A cloud
互,"mutually, reciprocally",ideographic,Two hooks hooking eachother
亓,that; surname,,
五,five; surname,ideographic,Five elements (the cross with the extra stroke) between heaven 一 and earth 一 
井,"well, mine shaft, pit",pictographic,A mine or well
亘,"to extend across, through; from",ideographic,Stretching from heaven 一 to earth 一 
些,"little, few; rather, somewhat",pictophonetic,two
斋,"to fast, to abstain; a vegetarian diet",pictophonetic,culture
亚,Asia; second,pictographic,Picture of a cross-shaped house or temple
亟,"urgently, immediately, extremely",,
亠,"lid, cover; head",,
亡,"death, destruction; to lose; to perish",ideographic,A man 人 in a coffin; see 亾
亢,"high, proud; violent, excessive; skilled; surname",,
交,"to connect; to deliver, to exchange; to intersect; to mix",ideographic,A person with crossed (intersecting) legs
亥,12th terrestrial branch; used in transliterations,,
亦,"also, too; likewise",ideographic,A man standing with arrows pointing to his armpits
亨,"prospering, going smoothly",,
享,to share; to enjoy; to benefit from,ideographic,Children 子 living and eating 口 in the house 亠
京,capital city,pictographic,A capital building on a hill
