hanzi_id,pinyin_id
1,1162
2,70
3,473
4,992
5,1523
6,121
7,833
8,962
9,1039
10,1240
11,1434
12,40
13,21
14,1515
15,341
16,1417
17,9
17,418
18,14
19,414
20,363
21,308
22,669
23,974
24,31
25,1019
26,70
27,557
28,962
29,921
30,986
31,1076
32,1486
33,465
34,621
35,1063
36,713
37,70
38,1264
39,1062
40,360
41,1291
42,950
43,66
44,117
45,696
46,203
47,1280
48,904
49,59
50,1003
50,1062
51,382
52,1104
53,294
54,1410
55,1452
56,914
57,1202
58,487
59,1288
60,669
61,1480
62,552
63,930
64,154
7052,142
65,23
66,915
1022,1416
7195,144
67,390
68,627
69,38
1562,464
2093,76
2547,76
70,441
80,219
5839,1302
7237,432
78,1059
1470,1402
1564,1073
1900,1080
86,1304
87,1033
111,1147
5885,884
90,445
91,209
95,1152
730,478
690,147
541,1392
3490,129
3844,1294
5814,131
131,740
138,36
491,971
135,679
4004,161
137,1304
3515,102
2120,1220
124,976
6217,153
600,448
448,154
5853,195
144,103
649,1302
147,1075
178,964
712,1042
192,402
1344,1359
265,634
702,1043
316,755
1110,799
2457,1145
4424,1444
166,1347
592,968
316,756
657,166
1556,952
6092,991
193,693
1717,154
2277,1128
2207,225
6831,1068
1765,85
6786,691
1120,1377
2972,98
3178,1156
3274,86
4044,410
2290,961
2890,56
5390,724
664,215
1139,826
6854,529
447,674
1303,398
331,1203
76,1484
997,485
356,1444
628,910
400,946
428,147
1890,393
1368,1303
5791,722
6358,1261
452,768
464,1377
489,1182
510,412
2499,461
515,1016
514,377
3034,879
3554,1312
6516,1003
5897,936
515,1019
3623,104
752,1069
4059,811
5002,977
1579,977
4640,1104
6726,1063
537,822
6390,1002
547,1188
6266,559
606,647
3073,82
6212,41
630,1225
651,1002
6756,691
162,66
1304,506
667,804
6197,523
1092,925
6166,365
1864,75
6028,1403
708,365
1742,1201
2047,480
1870,121
718,832
740,1224
4872,236
830,60
1513,443
3059,996
719,774
4929,576
720,986
5747,910
747,524
751,535
1920,843
792,1156
797,131
803,903
5811,625
804,343
973,101
2986,792
5669,1052
6701,68
842,271
4553,895
6530,798
844,894
4793,34
5968,995
862,835
6640,577
77,1278
745,437
892,1203
810,885
906,136
4136,1147
3846,1296
533,1150
1115,539
133,718
4539,1387
810,884
3346,993
7231,887
3464,935
1202,462
1220,1201
4344,828
1224,843
1226,473
1232,537
1241,1215
2702,1336
1264,191
1791,1066
1293,853
1715,40
5983,1410
1294,1052
2476,1314
6991,969
1298,468
6638,948
1998,1027
4065,328
3584,175
6780,714
3071,1329
2522,1389
531,415
2563,117
1306,390
1364,993
1311,1301
1965,890
1327,495
2144,1528
2487,680
2517,941
1473,829
5674,950
1475,1401
3234,656
1712,1185
2309,502
3348,709
5226,632
1736,1301
6390,966
1721,966
4677,1405
6714,464
5636,172
5907,194
1494,1098
2624,927
5670,61
370,943
104,1163
5774,1332
1545,1293
1552,1471
434,788
2486,452
3617,610
2392,1473
6291,219
514,380
6697,1142
1600,1124
6083,1291
2152,1308
1606,1448
1612,1272
1527,1355
5392,905
1714,940
6877,382
6836,1331
1738,1053
1127,428
1740,402
6011,714
6218,801
1762,593
5705,941
140,142
2531,1260
6110,1376
1090,1502
1483,941
2636,993
5606,179
5408,1286
1934,223
145,970
4697,1297
1780,457
2043,149
1823,1304
202,380
1842,483
2233,1149
6834,1028
546,1003
4049,1148
1878,730
1880,971
1897,418
2031,41
3850,83
896,595
1484,773
5573,1086
2093,73
306,986
446,1046
5853,219
2137,1125
2143,369
1809,519
619,172
6151,166
6236,1135
2157,396
2175,941
6625,1201
2179,156
1342,880
1595,1303
1587,600
4550,941
2182,1166
2989,1501
4078,50
7265,189
3213,504
6617,61
630,1305
6632,805
6551,1528
2186,1136
3010,461
2197,340
676,939
743,884
2271,1493
2281,226
2288,485
4341,975
4377,971
2292,542
450,698
2295,983
2321,924
2387,211
2400,80
444,1361
2405,938
3169,448
2421,1150
2446,638
2454,737
2459,775
6137,1136
2464,162
1232,534
2481,134
343,1148
748,341
2484,164
2500,368
6796,330
2504,234
2513,1410
2519,1354
4287,1033
6908,1434
2569,1215
6737,45
5617,665
2520,406
2546,1085
2529,1302
2559,1277
6769,1268
3791,142
161,675
2596,286
1535,871
2607,286
2616,763
2625,126
2634,122
1163,69
6722,941
2635,1131
2635,1206
1470,1400
4981,1215
2639,356
6751,565
2448,1147
2642,182
2978,1145
4612,969
74,118
528,666
2665,177
4762,763
2666,446
2673,165
2686,1147
3714,455
4284,1096
2716,1164
2407,1027
2732,759
4416,966
4007,420
5512,290
5428,1118
2649,740
6209,968
2765,511
5965,1407
6223,415
7287,702
2629,391
603,104
2779,797
2157,397
2839,738
2861,1258
6828,68
2862,1007
95,1154
2889,354
2956,1454
509,871
704,88
1943,1088
4308,1220
4685,1404
186,393
2980,219
4936,958
674,71
5980,1040
231,131
4001,422
1737,1051
3032,306
2213,155
798,883
3062,55
3067,406
4200,485
3071,1327
3103,980
6742,1452
6736,1091
3150,211
3186,228
4879,904
5700,49
5818,921
3187,696
3256,1026
2824,1241
4003,160
3300,698
3530,48
3382,483
3484,240
2626,87
3720,936
4824,134
2552,1304
5396,1242
6686,1067
3650,366
3778,1022
7177,885
3858,945
3867,355
514,1484
1127,377
3920,209
3974,1038
2209,782
4002,358
729,821
2451,1306
2231,1305
4041,231
32,1485
3121,1265
2778,994
4045,356
3521,1335
5573,876
4050,1066
4068,1116
4346,1249
4096,456
4115,267
4118,1331
4134,1303
4007,428
5692,963
4143,1302
7129,599
4384,459
1761,274
4255,1292
2465,959
4286,208
5395,1003
5767,1220
4247,326
4319,1153
4361,137
4363,1032
4368,852
336,589
4372,1014
4376,1125
833,1074
4732,1150
4412,190
5102,771
617,770
6476,1071
2193,348
3014,1265
3532,1265
4414,423
3709,953
4447,950
175,1235
6747,1324
1860,435
4450,962
5741,1301
4495,1235
5178,349
4507,724
4419,847
4513,666
4788,648
7257,1313
1273,913
135,652
4520,1156
285,1055
522,684
1724,1149
4566,939
1279,1304
1511,785
2780,170
4601,525
4602,1500
2285,779
4620,129
4624,121
416,968
4618,1064
6717,753
1725,1052
1893,128
2905,1296
4828,1296
767,826
4849,457
4019,255
4853,774
4871,477
2174,1220
4921,1007
4971,670
5134,302
4660,1150
307,1074
5921,1399
3298,147
1131,1149
1044,996
2417,985
1882,418
581,766
2183,529
5020,164
5825,953
5839,1305
2874,792
5914,308
2541,41
5226,726
75,1129
735,66
6723,1129
5401,881
6759,433
3094,1225
5572,1100
5582,38
381,1026
6544,1152
7017,748
232,425
4061,1304
170,1347
5679,1021
5082,368
3404,1392
5684,959
6365,1087
5685,638
6242,39
240,142
4080,1154
5584,199
5688,958
6456,69
1759,191
7083,969
5699,1242
3385,855
7254,442
5306,191
1200,488
2177,1205
6388,1154
5766,143
5858,1217
4164,278
6667,785
5896,270
3165,1054
5900,787
1504,11
5048,1496
6059,1461
4989,1150
497,938
6060,980
2242,1142
6070,126
1868,41
4963,405
3087,873
6107,959
6122,179
6123,721
6136,1172
6150,1452
5852,1382
6180,545
6200,1221
3723,1309
2069,144
6205,669
98,1252
1888,195
6230,428
6253,193
321,414
514,381
6359,1417
212,1094
6398,1140
5572,1077
6510,1258
5908,293
5936,294
6521,1476
4140,38
6627,316
1938,1503
6629,1273
6752,143
6754,1099
1963,1226
4064,1140
154,956
2734,1375
3558,1346
6777,104
6859,819
3293,487
6866,656
300,174
5849,906
6873,270
6899,174
4268,391
6943,289
615,1281
1701,1249
1055,408
433,1061
6967,994
1241,980
112,1117
6998,773
4186,715
7014,503
844,897
7118,687
3592,1133
7133,341
3337,425
3149,240
6315,687
1183,144
7243,409
1557,1171
4022,774
243,1425
507,1239
7268,994
70,1143
3476,1207
83,1236
3502,1052
155,868
435,822
445,583
6347,1149
480,446
582,943
1337,618
673,307
3595,1143
1157,1086
4851,740
3474,49
1196,938
1583,1226
2756,673
5577,961
5609,837
6560,749
1516,822
1537,606
1551,1231
1783,520
1716,1502
6148,191
2070,85
2640,131
2733,753
3647,1047
3091,1360
2538,1200
3504,116
3743,691
4208,655
4533,488
4839,1134
5047,948
6325,87
6367,1046
6756,694
922,408
6788,1026
4672,1064
6823,130
5046,673
6940,1066
6998,774
7077,435
7124,794
71,817
72,993
6738,939
3127,884
1723,1304
1831,1062
942,1054
1838,1127
5004,1286
1221,456
648,1040
1371,773
1381,39
1707,766
2832,66
1367,1400
1363,313
1709,1013
3925,55
1844,115
1858,1431
2166,611
2984,111
2164,833
2229,269
3280,1457
2523,1111
3826,264
5404,1230
2606,61
2981,103
1702,1156
3460,115
3602,64
3197,391
1603,534
4747,312
6302,1066
1215,961
2893,1314
5247,929
4570,1515
1854,1086
4187,1523
6835,1069
4893,587
7041,278
7096,1482
7109,297
3755,1161
73,1278
74,349
302,994
551,743
2367,346
80,220
5231,1132
4131,306
1306,394
3024,355
1393,596
6389,673
182,1400
6698,1240
2647,1095
3133,1123
4429,786
4752,1051
149,46
3859,1291
200,950
5623,1175
210,391
663,212
303,1058
4756,41
3871,964
1571,1279
3117,311
943,883
1336,626
1255,1101
2136,1055
318,179
372,1465
5786,1028
4442,1519
5277,738
449,766
3207,1071
5911,376
629,178
6677,369
2682,687
4050,1069
4375,666
705,1185
2127,940
4280,664
3908,41
5097,333
1118,535
6696,149
732,1303
5713,941
1911,1150
3350,50
1111,129
3153,1164
1312,39
1406,276
1734,428
2656,1468
1550,174
1305,480
4040,950
3589,639
1568,948
2651,1272
7206,949
1602,504
2744,1183
1621,1188
3857,86
1645,1058
1278,157
1782,837
6561,1142
1804,376
181,1456
1938,1500
749,901
2187,21
282,984
3130,1150
6887,1302
2539,341
2548,313
2619,1441
2628,250
707,87
2741,850
2949,637
2834,939
2950,1046
478,326
2614,1040
277,38
5888,305
3048,339
3057,391
4184,250
3068,730
3567,687
6600,516
3069,1027
4891,14
3093,952
275,448
4985,1401
2508,729
736,1500
3162,54
3194,285
2758,311
1112,147
3308,133
855,147
204,995
3847,1197
3517,956
3626,1296
3759,164
3829,108
2261,1288
323,1088
3856,507
3881,719
3883,363
2609,439
4009,920
2266,1258
4175,1071
5111,182
6354,1517
4940,1064
5115,740
4289,334
4953,956
2792,659
5051,1442
6578,971
4333,1523
6814,193
3607,262
6012,513
6231,148
4572,1528
6517,967
4623,743
2813,948
454,994
4823,986
4825,669
4261,266
2618,1311
1775,433
4856,242
4877,172
2691,946
4960,956
2034,9
1203,967
4573,1400
4740,724
5385,637
5067,1147
5143,1186
6897,366
5203,691
141,151
5359,1386
5367,363
714,232
1084,1513
377,1122
502,424
1781,1425
1955,829
2112,671
3269,1444
4842,938
4939,393
5585,1187
6507,1179
1510,1403
5883,435
5892,1140
3493,684
3495,101
5988,1149
902,1184
3428,205
4776,1467
7138,43
6734,1039
7186,98
6008,794
723,833
6089,1210
6157,614
6860,502
6173,439
605,1299
2614,1042
6297,454
3842,740
3129,86
1611,547
6388,1230
1321,1408
6541,950
4140,460
6681,1
6699,243
1370,965
724,1147
4968,191
6869,775
5122,306
1808,712
2875,1441
6954,946
1573,1061
7208,714
6780,709
77,1277
6832,66
1770,1254
5193,1432
949,404
5008,286
119,1220
201,1349
255,943
276,768
375,1250
519,1086
654,1296
608,1304
655,103
7271,1226
3354,873
736,1503
4585,1411
4691,1147
5781,437
751,536
3435,1078
774,1052
2035,741
875,1261
930,1274
5107,1370
1141,275
1175,1220
1219,175
1220,1202
1259,378
1295,113
1313,839
1556,954
1558,131
1814,950
4420,1164
1642,382
1654,745
691,1444
2312,54
2498,1080
576,950
571,986
2664,876
2044,666
2723,1074
2846,169
2882,707
2885,197
2965,846
3104,996
4239,1288
3193,917
3200,867
5201,909
3271,745
2905,938
2773,1078
1766,789
1418,311
3816,915
3761,1034
5509,1355
4405,428
6372,38
4288,819
5724,1145
535,1048
4613,1403
5894,1430
2878,126
4863,144
3364,1128
2339,1509
3609,226
3615,44
4951,488
3699,86
1629,692
1055,410
713,1309
6971,262
3896,1311
3994,70
4124,949
5243,61
4182,1039
4305,1328
453,207
6848,692
1563,414
4637,967
4703,958
4854,1147
4949,197
5017,1250
5048,1270
5055,9
3793,1496
1566,35
5268,1438
5297,1432
5400,142
5586,1272
5672,393
5719,370
2039,1515
5776,822
5781,511
5802,144
5847,41
5923,1394
6091,793
6175,1314
6224,396
6253,196
1181,65
6415,770
6688,1064
2474,426
6807,1076
6849,884
6854,532
6856,873
6861,25
5009,786
6930,1342
6937,1308
7278,69
3424,639
268,666
128,1360
243,1426
265,636
305,1094
498,364
520,910
1155,1258
1220,1204
1253,1180
1338,561
1433,946
1591,964
1609,1313
1665,1376
1717,158
6853,819
2219,162
2241,1476
2424,161
2456,371
2510,1107
543,1071
2856,475
2931,810
3026,455
3032,309
4274,665
3113,1215
3330,909
3573,74
3665,889
3706,144
3884,910
4432,1164
402,39
4822,272
4934,58
5081,908
1235,1386
5437,406
5702,443
5720,1288
5732,1134
5937,950
5993,438
6133,1058
6190,1162
6333,976
6518,306
3611,1115
6686,954
6707,1064
6708,714
6886,373
1387,128
79,938
79,994
103,404
108,976
114,359
136,143
3763,665
5733,274
153,815
659,177
156,41
2878,651
113,903
1523,868
227,406
233,1164
245,608
283,195
294,1514
304,1083
2742,14
1746,391
4766,95
333,990
337,721
6949,212
1882,420
345,945
350,259
326,40
2489,1076
352,1425
353,520
359,528
2348,1009
311,179
378,1276
4911,255
4868,131
384,967
2979,1453
386,1069
409,949
641,855
437,329
80,217
80,216
1515,39
2139,402
457,948
5721,1103
494,448
216,212
197,1154
5893,393
1869,190
2564,1159
4005,1390
6093,1106
6111,1150
1543,1302
517,809
520,909
6865,431
5579,131
856,752
3028,190
4054,1298
5808,1161
325,901
2320,961
6793,373
7226,920
580,666
6900,1304
525,202
2215,983
2661,1314
2293,50
341,1431
6241,1108
2404,1392
2336,59
2427,1343
3538,364
5108,836
2684,311
1546,1077
661,1076
695,51
706,939
2110,914
6163,74
724,1149
217,773
6389,675
280,1021
560,752
2476,1313
3653,1177
784,750
1565,1282
2125,936
4718,1037
2185,815
2211,986
2246,117
2386,1212
2231,1302
2250,977
2476,1333
955,144
4217,347
3323,337
4584,1152
6186,591
4552,124
6030,142
5973,126
6245,191
6794,818
744,939
1560,1111
5850,144
757,689
3731,144
5931,1454
765,871
48,907
1811,49
811,1373
1127,420
812,977
2987,401
923,1227
3249,146
1113,147
1114,534
113,907
5812,352
1133,991
1216,809
1905,1348
