form,meaning,type,etymology
⺮,"""bamboo"" radical in Chinese characters (Kangxi radical 118)",pictographic,"Two stalks of bamboo; see 竹"
㐆,"component in Chinese character 殷[yin1]",,
㐌,"variant of 它[ta1]",pictophonetic,"people"
俊,"old variant of 俊[jun4]",pictophonetic,"person"
㒸,"archaic variant of 遂[sui4]",,
罔,"old variant of 罔[wang3]",pictophonetic,"net"
寇,"old variant of 寇[kou4]",ideographic,"Bandits mugging 攴 a person 元 in his home 宀"
㔾,"""seal"" radical in Chinese characters (Kangxi radical 26)",pictographic,"A rolled-up scroll or kneeling person; compare 卩"
却,"old variant of 卻|却[que4]",pictophonetic,"seal"
厨,"old variant of 廚|厨[chu2]",pictophonetic,"building"
参,"variant of 參|参[can1]",pictophonetic,
以,"old variant of 以[yi3]",,
坳,"variant of 坳[ao4]",pictophonetic,"earth"
宿,"old variant of 宿[su4]",ideographic,"A person 亻 sleeping in a bed 百 under a roof 宀"
冥,"old variant of 冥[ming2]",ideographic,"The sun 日, covered 冖, with 六 providing the pronunciation"
最,"variant of 最[zui4]",ideographic,"To take place 取 under the sun 日 (that is, everywhere)"
㝵,"variant of 礙|碍[ai4]",ideographic,"A hand 寸 grabbing a shell 旦"
㝵,"to obtain (old variant of 得[de2])",ideographic,"A hand 寸 grabbing a shell 旦"
岸,"variant of 岸[an4]",ideographic,"A mountain 山 cliff 厂; 干 provides the pronunciation"
岛,"variant of 島|岛[dao3]",ideographic,"A bird 鸟 perched atop a mountain 山"
以,"old variant of 以[yi3]",,
帆,"variant of 帆[fan1]",pictophonetic,"cloth"
帽,"old variant of 帽[mao4]",pictophonetic,"towel"
廉,"old variant of 廉[lian2]",,
迥,"variant of 迥[jiong3]",ideographic,"Separated 辶 by a border 冋; 冋 also provides the pronunciation"
恩,"variant of 恩[en1]",pictophonetic,"heart"
惬,"variant of 愜|惬[qie4]",pictophonetic,"heart"
㥯,"cautious",pictophonetic,"heart"
拿,"old variant of 拿[na2]",pictophonetic,"hand"
捷,"variant of 捷[jie2]; quick; nimble",pictophonetic,"hand"
晃,"variant of 晃[huang3]",pictophonetic,"sun"
据,"variant of 據|据[ju4]",pictophonetic,"hand"
携,"old variant of 攜|携[xie2]",pictophonetic,"hand"
携,"old variant of 攜|携[xie2]",pictophonetic,"hand"
散,"variant of 散[san4]",ideographic,"A hand 攵 tossing seeds from a basket"
敦,"variant of 敦[dun1]",pictophonetic,"share"
暖,"old variant of 暖[nuan3]",pictophonetic,"sun"
㬎,"old variant of 顯|显[xian3]",ideographic,"Tiny 幺 motes of dust 灬 in a sunbeam 日"
橹,"variant of 櫓|橹[lu3]",pictophonetic,"wood"
饮,"old variant of 飲|饮[yin3]",pictophonetic,"food"
㲋,"ancient name for an animal similar to rabbit but bigger",pictographic,"A rabbit looking to the left"
涎,"variant of 涎[xian2]",pictophonetic,"water"
法,"variant of 法[fa3]",ideographic,"The course 去 followed by a stream 氵"
深,"old variant of 深[shen1]",ideographic,"Deep 罙 water 氵"
涧,"variant of 澗|涧[jian4]",ideographic,"A stream 氵 flowing through a valley 间; 间 also provides the pronunciation"
烨,"variant of 燁|烨[ye4]",ideographic,"A glorious 华 blaze 火; 华 also provides the pronunciation"
碗,"variant of 碗[wan3]",pictophonetic,"stone"
留,"old variant of 留[liu2]",,
