id,name,latin,tone
1,ā,a,1
2,á,a,2
3,ǎ,a,3
4,à,a,4
5,a,a,
6,āi,ai,1
7,ái,ai,2
8,ǎi,ai,3
9,ài,ai,4
10,ān,an,1
11,ǎn,an,3
12,àn,an,4
13,āng,ang,1
14,áng,ang,2
15,àng,ang,4
16,āo,ao,1
17,áo,ao,2
18,ǎo,ao,3
19,ào,ao,4
20,ē,e,1
21,é,e,2
22,ě,e,3
23,è,e,4
24,ēi,ei,1
25,éi,ei,2
26,ěi,ei,3
27,èi,ei,4
28,ēn,en,1
29,èn,en,4
30,en,en,
31,ér,er,2
32,ěr,er,3
33,èr,er,4
34,er,er,
35,yī,yi,1
36,yí,yi,2
37,yǐ,yi,3
38,yì,yi,4
39,yā,ya,1
40,yá,ya,2
41,yǎ,ya,3
42,yà,ya,4
43,ya,ya,
44,yān,yan,1
45,yán,yan,2
46,yǎn,yan,3
47,yàn,yan,4
48,yāng,yang,1
49,yáng,yang,2
50,yǎng,yang,3
51,yàng,yang,4
52,yāo,yao,1
53,yáo,yao,2
54,yǎo,yao,3
55,yào,yao,4
56,yē,ye,1
57,yé,ye,2
58,yě,ye,3
59,yè,ye,4
60,ye,ye,
61,yīn,yin,1
62,yín,yin,2
63,yǐn,yin,3
64,yìn,yin,4
65,yīng,ying,1
66,yíng,ying,2
67,yǐng,ying,3
68,yìng,ying,4
69,yō,yo,1
70,yo,yo,
71,yōng,yong,1
72,yóng,yong,2
73,yǒng,yong,3
74,yòng,yong,4
75,yōu,you,1
76,yóu,you,2
77,yǒu,you,3
78,yòu,you,4
79,ō,o,1
80,ó,o,2
81,ǒ,o,3
82,ò,o,4
83,o,o,
84,wēng,weng,1
85,wěng,weng,3
86,wèng,weng,4
87,ōu,ou,1
88,ǒu,ou,3
89,òu,ou,4
90,wū,wu,1
91,wú,wu,2
92,wǔ,wu,3
93,wù,wu,4
94,wā,wa,1
95,wá,wa,2
96,wǎ,wa,3
97,wà,wa,4
98,wa,wa,
99,wāi,wai,1
100,wǎi,wai,3
101,wài,wai,4
102,wān,wan,1
103,wán,wan,2
104,wǎn,wan,3
105,wàn,wan,4
106,wāng,wang,1
107,wáng,wang,2
108,wǎng,wang,3
109,wàng,wang,4
110,yuē,yue,1
111,yuě,yue,3
112,yuè,yue,4
113,wēi,wei,1
114,wéi,wei,2
115,wěi,wei,3
116,wèi,wei,4
117,wēn,wen,1
118,wén,wen,2
119,wěn,wen,3
120,wèn,wen,4
121,wō,wo,1
122,wǒ,wo,3
123,wò,wo,4
124,yū,yu,1
125,yú,yu,2
126,yǔ,yu,3
127,yù,yu,4
128,yuān,yuan,1
129,yuán,yuan,2
130,yuǎn,yuan,3
131,yuàn,yuan,4
132,yūn,yun,1
133,yún,yun,2
134,yǔn,yun,3
135,yùn,yun,4
136,bā,ba,1
137,bá,ba,2
