form,sound,meaning,type,etymology
⺮,zhu2,"""bamboo"" radical in Chinese characters (Kangxi radical 118)",pictographic,"Two stalks of bamboo; see 竹"
㐆,yin3,"component in Chinese character 殷[yin1]",,
㐌,ta1,"variant of 它[ta1]",pictophonetic,"people"
俊,jun4,"old variant of 俊[jun4]",pictophonetic,"person"
㒸,sui4,"archaic variant of 遂[sui4]",,
罔,wang3,"old variant of 罔[wang3]",pictophonetic,"net"
寇,kou4,"old variant of 寇[kou4]",ideographic,"Bandits mugging 攴 a person 元 in his home 宀"
㔾,jie2,"""seal"" radical in Chinese characters (Kangxi radical 26)",pictographic,"A rolled-up scroll or kneeling person; compare 卩"
却,que4,"old variant of 卻|却[que4]",pictophonetic,"seal"
厨,chu2,"old variant of 廚|厨[chu2]",pictophonetic,"building"
参,can1,"variant of 參|参[can1]",pictophonetic,
以,yi3,"old variant of 以[yi3]",,
坳,ao4,"variant of 坳[ao4]",pictophonetic,"earth"
宿,su4,"old variant of 宿[su4]",ideographic,"A person 亻 sleeping in a bed 百 under a roof 宀"
冥,ming2,"old variant of 冥[ming2]",ideographic,"The sun 日, covered 冖, with 六 providing the pronunciation"
最,zui4,"variant of 最[zui4]",ideographic,"To take place 取 under the sun 日 (that is, everywhere)"
㝵,ai4,"variant of 礙|碍[ai4]",ideographic,"A hand 寸 grabbing a shell 旦"
㝵,de2,"to obtain (old variant of 得[de2])",ideographic,"A hand 寸 grabbing a shell 旦"
岸,an4,"variant of 岸[an4]",ideographic,"A mountain 山 cliff 厂; 干 provides the pronunciation"
岛,dao3,"variant of 島|岛[dao3]",ideographic,"A bird 鸟 perched atop a mountain 山"
以,yi3,"old variant of 以[yi3]",,
帆,fan1,"variant of 帆[fan1]",pictophonetic,"cloth"
帽,mao4,"old variant of 帽[mao4]",pictophonetic,"towel"
廉,lian2,"old variant of 廉[lian2]",,
迥,jiong3,"variant of 迥[jiong3]",ideographic,"Separated 辶 by a border 冋; 冋 also provides the pronunciation"
恩,en1,"variant of 恩[en1]",pictophonetic,"heart"
惬,qie4,"variant of 愜|惬[qie4]",pictophonetic,"heart"
㥯,yin3,"cautious",pictophonetic,"heart"
拿,na2,"old variant of 拿[na2]",pictophonetic,"hand"
捷,jie2,"variant of 捷[jie2]; quick; nimble",pictophonetic,"hand"
晃,huang3,"variant of 晃[huang3]",pictophonetic,"sun"
据,ju4,"variant of 據|据[ju4]",pictophonetic,"hand"
携,xie2,"old variant of 攜|携[xie2]",pictophonetic,"hand"
携,xie2,"old variant of 攜|携[xie2]",pictophonetic,"hand"
散,san4,"variant of 散[san4]",ideographic,"A hand 攵 tossing seeds from a basket"
敦,dun1,"variant of 敦[dun1]",pictophonetic,"share"
暖,nuan3,"old variant of 暖[nuan3]",pictophonetic,"sun"
